Beds,Baths,SQFT,Price,Zip_Code,Address,Property_ID,Property_Type,URL,Price_Per_SQFT,Region,Zip_Avg_Price_Per_SQFT,Deal_Score_Per_SQFT,Estimated_Value_From_Zip_Avg,Estimated_Savings,Savings_Percent,Deal_Label
4.0,3.0,1170.0,99900.0,19104,"3956 Melon St, Philadelphia, PA 19104",38669183,Unknown,https://www.redfin.com/PA/Philadelphia/3956-Melon-St-19104/home/38669183,85.38461538461539,Philadelphia / Southeast PA Area,207.40964899739257,122.02503361277718,242669.2893269493,142769.2893269493,58.83286250308982,Excellent Steal
3.0,3.0,2613.0,289900.0,15217,"719 Hazelwood Ave, Pittsburgh, PA 15217",74758618,Unknown,https://www.redfin.com/PA/Pittsburgh/719-Hazelwood-Ave-15217/home/74758618,110.94527363184079,Pittsburgh Area,269.2839100721977,158.33863644035694,703638.8570186526,413738.8570186526,58.79988759740778,Excellent Steal
4.0,3.0,3650.0,400000.0,15213,"142 Robinson, Pittsburgh, PA 15213",74571128,Unknown,https://www.redfin.com/PA/Pittsburgh/142-Robinson-St-15213/home/74571128,109.58904109589041,Pittsburgh Area,263.0770314267423,153.48799033085186,960231.1647076093,560231.1647076093,58.34336410839154,Excellent Steal
3.0,5.0,1264.0,85000.0,17101,"315 Evergreen St, Harrisburg, PA 17104",122749746,Unknown,https://www.redfin.com/PA/Harrisburg/315-Evergreen-St-17104/home/122749746,67.24683544303798,Central PA,157.52119363592462,90.27435819288664,199106.78875580872,114106.78875580872,57.30934111732028,Excellent Steal
3.0,5.0,1264.0,85000.0,17101,"317 Evergreen St, Harrisburg, PA 17104",123590246,Unknown,https://www.redfin.com/PA/Harrisburg/317-Evergreen-St-17104/home/123590246,67.24683544303798,Central PA,157.52119363592462,90.27435819288664,199106.78875580872,114106.78875580872,57.30934111732028,Excellent Steal
6.0,2.0,5264.0,299900.0,18503,"724 Court St, Scranton, PA 18508",128748250,Unknown,https://www.redfin.com/PA/Scranton/724-Court-St-18508/home/128748250,56.97188449848024,Lehigh Valley / Scranton Area,133.39233080369655,76.4204463052163,702177.2293506586,402277.2293506586,57.289984997472246,Excellent Steal
2.0,3.0,4356.0,299000.0,17101,"1330 Derry St, Harrisburg, PA 17104",178425468,Unknown,https://www.redfin.com/PA/Harrisburg/1330-Derry-St-17104/home/178425468,68.64095500459136,Central PA,157.52119363592462,88.88023863133326,686162.3194780876,387162.3194780876,56.424304933062054,Excellent Steal
4.0,2.0,1056.0,125000.0,19067,"1119 Anders Dr, Morrisville, PA 19067",38672615,Unknown,https://www.redfin.com/PA/Morrisville/1119-Anders-Dr-19067/home/38672615,118.37121212121212,Philadelphia / Southeast PA Area,266.20188357827504,147.83067145706292,281109.18905865843,156109.18905865843,55.53329280391595,Excellent Steal
2.0,1.0,845.0,100000.0,15213,"4625 5th Ave #711, Pittsburgh, PA 15213",147535313,Unknown,https://www.redfin.com/PA/Pittsburgh/4625-Fifth-Ave-15213/unit-711/home/147535313,118.34319526627219,Pittsburgh Area,263.0770314267423,144.7338361604701,222300.09155559723,122300.09155559723,55.01576301645831,Excellent Steal
3.0,2.0,3292.0,395000.0,19128,"8962-62 Ridge Ave, Philadelphia, PA 19128",40304405,Unknown,https://www.redfin.com/PA/Philadelphia/8962-Ridge-Ave-19128/home/40304405,119.98784933171325,Philadelphia / Southeast PA Area,261.52249037427634,141.5346410425631,860932.0383121177,465932.0383121177,54.11949115351672,Excellent Steal
3.0,1.0,1128.0,110000.0,19104,"4231 Parrish St, Philadelphia, PA 19104",38188698,Unknown,https://www.redfin.com/PA/Philadelphia/4231-Parrish-St-19104/home/38188698,97.51773049645391,Philadelphia / Southeast PA Area,207.40964899739257,109.89191850093866,233958.08406905882,123958.08406905882,52.98303094005051,Excellent Steal
1.0,1.0,2310.0,175000.0,17101,"1353 Vernon St, Harrisburg, PA 17104",123874835,Unknown,https://www.redfin.com/PA/Harrisburg/1353-Vernon-St-17104/home/123874835,75.75757575757575,Central PA,157.52119363592462,81.76361787834887,363873.95729898586,188873.95729898586,51.90642350471732,Excellent Steal
2.0,2.0,1250.0,129000.0,19104,"804 N Brooklyn St, Philadelphia, PA 19104",38195676,Unknown,https://www.redfin.com/PA/Philadelphia/804-N-Brooklyn-St-19104/home/38195676,103.2,Philadelphia / Southeast PA Area,207.40964899739257,104.20964899739256,259262.06124674072,130262.06124674072,50.2433948956264,Excellent Steal
3.0,3.0,1230.0,94000.0,19124,"770 Smylie Rd, Philadelphia, PA 19124",38959788,Unknown,https://www.redfin.com/PA/Philadelphia/770-Smylie-Rd-19124/home/38959788,76.42276422764228,Philadelphia / Southeast PA Area,152.5711290372946,76.14836480965234,187662.48871587237,93662.48871587237,49.91007492055628,Excellent Steal
